"PID","describe","how","why_1","why_2","why_3","why_4","why_5","otherself","antidem","trust","antiest","elect","polparticipation","antidem_1","antidem_2","antidem_3","antidem_4","antidem_5","antiest_1","antiest_2","antiest_3","antiest_4R","trust_con","trust_gov","trust_jud","trust_sci","trust_pol","trust_news","polparticip_1","polparticip_2","polparticip_3","polparticip_4","polparticip_5","polparticip_6","vote_2024","vote_now","ideo_con","ideo_lib","ideo_demsoc","ideo_lbrtn","ideo_prog","party_gen","party_dem","party_rep","party_ind","party_followup","att_1","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","ai_sentiment","ai_topics","left_behind_score","category","culprit","feeling_vs_objective","culprit_text","rationale","n_reasons","any_gov","any_nonsense","frac_systemic","frac_individual","frac_both","frac_none","top_category","feedback"
"UW857qs","The middle income person is being left behind. I think this is a class issue and it almost always has been. More now than ever the middle income pays the taxes, wages are stagnant, and prices continue to skyrocket. Nothing is affordable anymore and the middle income person is getting left behind. They just wanted to live the American Dream, but now it seems too far away.",2,"They feel like they are paying too much taxes","They feel like their wages have not gone up with inflation","They can't buy a house","They are paying off too much loans",NA,4,2.2,2.33333333333333,6.5,1,1.83333333333333,2,2,4,2,1,7,7,6,6,2,2,3,3,2,2,5,2,1,1,1,1,"Jill Stein (Green Party)","I would not vote",3,4,5,4,4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,40,"man","Asian","4yearColl","$60,001-$80,000",4,4,0,1,0,0,1,"negative","middle income; taxes; wages; prices; American Dream",8,"economic",0,1,NA,"The response highlights the struggles of middle income individuals with stagnant wages and rising prices, making the American Dream seem unattainable.",4,1,0,0.75,0.25,0,0,"economic","none"
"ZH300de","The kind of person who I think may be feeling left behind by the way things are done in America is someone with Autism. People with Autism often fall behind in this country no matter how much or how little skills or education they have. Many with high functioning Autism struggle to get all of the services they need to be productive members of society due to corporate red tape. Some are even denied services given to people with other disabilities and may have to live with relatives for many years after finishing high school or end up homeless if no other relative takes them in after their parents pass away. People with Autism are often unemployed or underemployed due to also being denied better paying jobs and having to deal with unfair working conditions that don't protect them and instead only protects those who are not disabled or have other disabilities.",50,"Discriminated against in the workplace","Discriminated by others in society","Denied services that they need","People with other disabilities are favored over Autistics","Stigmatized by American society",5,NA,2.16666666666667,6.5,1,1.83333333333333,NA,NA,NA,NA,NA,7,7,6,6,2,2,2,3,1,3,3,3,1,2,1,1,"I did not vote","I would not vote",1,3,1,4,3,"Independent",NA,NA,"Neither","Independent | Neither",1,1,32,"woman","multiracial","GED","$60,001-$80,000",4,2,0,0,0,0,1,"negative","Autism; employment; services; disability rights",8,"social",1,1,"corporate red tape","The response highlights the struggles of people with Autism in accessing services and employment, attributing blame to systemic issues like corporate red tape.",5,0,0,1,0,0,0,"social","Great study. I hope my answers are helpful."
"ND250qs","No matter what Administration is in the POTUS there are ALWAYS going to be people who feel ""left behind"". I am a Republican and I was not happy with the former Administration - but at know time did I feel ""left behind"". Your success in life depends solely on yourself 0 not the federal government",29,"They look at the problem instead of finding a solution","They are expecting the federal government to help them out","Poor attitude","Poor family dynamic",NA,1,2,2.66666666666667,2.75,0,1.83333333333333,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,4,1,3,1,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",7,6,3,NA,4,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,68,"man","White","GED","$40,001-$60,000",3,2,1,1,1,0,0,"mixed","political administration; personal responsibility",1,"political",0,1,NA,"The response acknowledges feelings of being left behind but emphasizes personal responsibility over government influence.",4,1,0,0.25,0.75,0,0,"other","no comments"
"LI391ex","The average working American. There are no safety nets or anything to help sustain people who are really trying",50,"health care","retirement","government support",NA,NA,3,1.8,2.16666666666667,5,1,1.83333333333333,2,2,2,2,1,5,5,6,4,2,1,2,4,2,2,2,1,2,2,2,2,"Robert F. Kennedy Jr. (Independent)","I would not vote",3,5,6,4,6,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,34,"man","multiracial","4yearColl","$20,001-$40,000",2,4,0,1,0,1,0,"negative","working Americans; lack of safety nets",8,"economic",0,1,NA,"The response highlights the struggles of working Americans and the absence of support systems, indicating a feeling of being left behind economically.",3,1,1,0.666666666666667,0,0,0.333333333333333,"other",NA
"KS799fm","I think the person being left behind generally lives in an urban area and doesn't have access to a good school to learn the things that they need to get a good education and, in turn, a good job that pays them well.",20,"Education","Good jobs","Good pay","Affordable housing","Affordable health care",1,NA,2.33333333333333,3.5,1,1,NA,NA,NA,NA,NA,3,3,3,5,2,2,2,4,2,2,1,1,1,1,1,1,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",2,5,2,2,5,"Independent",NA,NA,"Neither","Independent | Neither",1,1,45,"man","White","4yearColl","$60,001-$80,000",4,4,1,1,0,0,1,"negative","education; employment; urban areas",7,"economic",0,1,NA,"The response highlights a lack of access to quality education and employment opportunities in urban areas, suggesting a feeling of being left behind economically.",5,0,0,0.6,0.2,0.2,0,"economic","Thanks."
"JZ255cj","A person who feels left behind might be someone who is working in a low-wage job, struggle to make ends meet, have limited access to healthcare and lack educational opportunities for them or their children.",50,"Limited access to quality healthcare makes them vulnerable","Their low-wage job makes them unable to meet basic amenities.","Lack of educational opportunities limits their level of advancement in life.","They seem overlooked by policy makers","Systemic barriers.",5,1.6,2.33333333333333,4.5,0,3.33333333333333,1,1,1,4,1,5,4,5,4,3,1,3,2,3,2,3,2,3,4,4,4,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",4,1,1,1,1,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,32,"man","White","PHD","$120,001-$140,000",7,6,1,1,1,0,0,"negative","low-wage jobs; healthcare access; educational opportunities",7,"economic",0,1,NA,"The response describes feelings of being left behind due to economic struggles and lack of access to essential services.",5,1,0,1,0,0,0,"social","N/A"
"ZC499qj","I feel like the people that are stuck in cities are the ones being left behind. They are forced to continue staying in the city because they can't afford to get out. The government supports poverty because it gives them more voters in that demographic category. These people are intentionally overlooked an suppressed because it supports certain political agendas.",37,"government oppression","forced culture","political gain","unfair society",NA,3,1,1.33333333333333,6.75,1,1.33333333333333,1,1,1,1,1,6,7,7,7,1,1,2,2,1,1,3,1,1,1,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",6,4,1,4,5,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,44,"woman","White","GED","$80,001-$100,000",5,2,1,0,1,0,0,"negative","urban poverty; political agendas",8,"political",1,1,"government","The response suggests that people in cities are intentionally overlooked for political gain, implying a feeling of being left behind.",4,1,0,1,0,0,0,"political","Thank you and have a great day."
"CQ071na","People that are poor and on the lower end of the spectrum which have fewer resources to pull from to live .",26,"Low education","Overwhelming daily costs","Follow laws only meant for them to obey","low resources",NA,1,NA,1.33333333333333,6.25,1,2.33333333333333,NA,NA,NA,NA,NA,6,6,6,7,1,1,2,2,1,1,1,5,3,3,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",3,1,1,3,1,"Independent",NA,NA,"Neither","Independent | Neither",1,1,55,"man","multiracial","GED","$20,001-$40,000",2,2,0,1,0,0,1,"negative","poverty; resource scarcity",8,"economic",0,0,NA,"The statement highlights the economic struggles of poor individuals with limited resources, indicating a significant level of being left behind.",4,0,0,0.75,0,0.25,0,"economic",NA
"XX769bl","A 35 year old person is struggling to pay bills and he works full time. This person cannot afford a house and can barely pay bills and buy food. This person is white and a hard worker. A black person would have an even worse life. Corporate greed and lack of empathy are just some of the reasons life is how it is today. I worry about my grandchildren growing up in this world. If it keeps up like this many seniors will become homeless.",0,"salary","economy","greed","lack of empathy","advanced schooling too expensive",5,3,2.83333333333333,6.75,1,1.5,4,2,3,4,2,7,7,7,6,3,3,3,4,2,2,4,1,1,1,1,1,"Donald Trump (Republican Party)","J. D. Vance (Republican Party)",5,2,4,2,2,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,67,"woman","White","GED","$20,001-$40,000",2,2,1,0,1,0,0,"negative","economic hardship; housing affordability; corporate greed; racial inequality",8,"economic",1,1,"corporate greed and lack of empathy","The response highlights economic struggles and attributes them to corporate greed, indicating a feeling of being left behind.",5,0,1,0.4,0.4,0,0.2,"economic","None. Thank you."
"EG328od","I think someone really feeling left behind today is a working- or middle-class person who’s been doing everything “right” but still can’t seem to get ahead. Maybe they’ve been in the same job for years, but their wages haven’t kept up with the cost of living. Healthcare, housing, and even groceries eat up most of their paycheck. They probably don’t have much saved for retirement, and they worry about their kids taking on debt for college or not being able to find good jobs. On top of that, they feel like politicians talk a lot but don’t really listen to people like them. They see attention going to big corporations, elites, or special interests, while ordinary folks are struggling to keep up. It’s frustrating, and it leaves them feeling ignored — like the system isn’t built for them anymore.",35,"Wages have not kept up with the rising cost of living.","Healthcare, housing, and basic necessities take up most of their income.","They feel political leaders focus more on elites and corporations than ordinary people.",NA,NA,2,1.4,2.16666666666667,5.5,1,2.66666666666667,1,1,1,2,2,6,6,5,5,2,2,3,3,2,1,4,3,2,3,2,2,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",6,3,2,4,3,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,55,"woman","White","4yearColl","$100,001-$120,000",6,4,1,0,1,0,0,"negative","wages; cost of living; healthcare; housing; retirement; education; political representation",8,"economic",1,1,"politicians, big corporations, elites, special interests","The response describes a person feeling left behind due to economic struggles and lack of political representation, with blame directed at politicians and elites.",3,1,0,1,0,0,0,"economic",NA
"RW581ij","From Jan 2021 until Jan 2025, I truly think half of this country felt like they were ignored and left behind. The Biden administration, including Biden and Harris, the media, and so many others that followed their lead did everything they could to erase conservative thinking and beliefs. They did their best to corrupt the entire country as they gained more power, control, and wealth. Every man, woman, and child were subjected to their abuse. It didn't matter what color they were, if conservative, you were ridiculed, belittled, dismissed, ignored, berated, attacked. The worst 4 years in American history for conservative people.",51,"Being dismissed","ridiculed","verbal attacks","being lied to","being subjected to their crazy ideas",5,2.8,2.66666666666667,2.25,1,1.66666666666667,2,4,2,4,2,1,2,3,3,3,3,3,3,3,1,5,1,1,1,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",7,1,1,4,1,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,70,"woman","White","2yearColl","$0-$20,000",1,3,1,0,1,0,0,"negative","Biden administration; conservative beliefs; media influence",8,"political",1,1,"Biden administration, media","The response expresses a strong feeling of being ignored and attacked by the Biden administration and media, particularly for conservative individuals.",5,0,1,0,0.4,0,0.6,"other","Good luck with your research."
"EU378vk","The poor and working class feel left behind. And they're right. People work 16 hours for Wal-Mart and still need food stamps to feed their families. But the Waltons or whatever their names are just hoard money like dragons. Our resources go up, and they freeze at the top. We are supposedly the most powerful nation in the world. Well it sure doesn't look like it from inside. Homelessness could be totally eradicated, child hunger could be ended, and people who work hard should be able to sustain themselves and a family. We could have all of that, but instead we have an Oligarchy that only works for the super rich.",20,"Low wages","No healthcare","Food insecurity","Lack of public services","Oligarchy",4,3,2.33333333333333,5.25,1,3.83333333333333,6,3,3,2,1,7,6,3,5,2,2,1,4,2,3,2,5,5,3,4,4,"Kamala Harris (Democratic Party)","Andrea Ocasio Cortez",1,4,7,1,7,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,47,"man","White","2yearColl","$100,001-$120,000",6,3,1,1,0,1,0,"negative","income inequality; working conditions; poverty; oligarchy",8,"economic",1,0,"Wal-Mart, the Waltons, Oligarchy","The response highlights economic struggles of the working class and criticizes the concentration of wealth among the rich, implying systemic issues.",5,1,0,1,0,0,0,"economic",NA
"KG326cn","A person whi feels left behind in today's United states might be an old friend, rural caregiver and former factoey worker who, despite his resilience and work ethic, faces econmic displacement, digital exclusion and emotioanl fatigue while struggling to support his family in a system that no longer reflects in his lived reality.",20,"Economic displacement and job loss","Limited accsess to healthcare and socail service","Cultural and political Marginalization","Emotional structure and fatigue",NA,1,1.4,3.5,2.5,1,1,1,1,2,2,1,2,4,2,2,4,3,4,4,3,3,1,1,1,1,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",6,2,6,4,4,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,49,"man","Asian","MA","$160,001-$180,000",9,5,0,1,1,0,0,"negative","economic displacement; digital exclusion; emotional fatigue",8,"economic",1,1,"the system","The response describes a person feeling left behind due to economic and digital challenges, with an implied blame on the system.",4,0,0,0.75,0.25,0,0,"social",NA
"RI056sc","I feel like I am in the middle. I am not struggling but I am not thriving either.",50,"Stress","Bills","Poverty",NA,NA,5,4,1.66666666666667,7,1,1,4,4,4,4,4,7,7,7,7,1,1,1,3,1,3,1,1,1,1,1,1,"I did not vote","I would not vote",4,4,4,2,5,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,22,"woman","Black or African American","GED","$40,001-$60,000",3,2,0,0,0,0,1,"neutral","personal status; economic condition",1,"economic",0,1,NA,"The response indicates a neutral sentiment about personal economic status, with no specific party blamed for the situation.",3,0,1,0.333333333333333,0.333333333333333,0,0.333333333333333,"other",NA
"RX386xi","I imagine that people who are working low paying jobs are struggling the most. The price of housing has gone up greatly over the years and it's become much more difficult for low wage workers to be able to afford houses. I think these are often people working the jobs that others don't want to.",10,"Not making enough money.","Unable to afford a home.","Lack of education or training.","Inability to save money.","Going into debt to afford bills.",1,1.6,2.5,2.75,1,3,1,1,1,1,4,3,3,2,3,2,2,3,4,2,2,5,4,3,3,2,1,"Donald Trump (Republican Party)","J. D. Vance (Republican Party)",5,4,1,2,2,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,33,"man","Hispanic, Latino, or Spanish origin","2yearColl","$60,001-$80,000",4,3,0,1,0,0,1,"negative","low paying jobs; housing affordability",7,"economic",0,1,NA,"The response highlights the struggle of low wage workers with rising housing costs, indicating a feeling of being left behind economically.",5,0,0,0.4,0.6,0,0,"economic","No additional comments."
"LZ290gf","Most people are being left behind except those that are already rich. Anybody in the middle class or below is struggling to keep up with the increasing cost of living due to inflation and tariffs. People cannot afford to have children to pay for their own healthcare expenses, and some people in the lower classes have to choose between eating food or paying bills. Uneducated people are the worst off since the wages paid by entry-level blue collar jobs are not enough to pay for housing, utilities, and other necessary expenses.",0,"Rapidly increasing cost of living","High healthcare costs","Poor wages for entry-level jobs/minimum wage does not match cost of living","Inability to afford having children","Tariffs and immigration policies increasing the costs of needed goods and services",5,1.4,1.5,6,1,1.66666666666667,1,2,2,1,1,7,7,3,7,1,1,1,4,1,1,3,1,2,1,2,1,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",1,5,NA,NA,NA,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,32,"man","White","MA","$40,001-$60,000",3,5,1,1,0,1,0,"negative","income inequality; cost of living; inflation; education",8,"economic",1,0,"inflation and tariffs","The response highlights economic struggles due to inflation and tariffs, affecting middle and lower classes, especially uneducated individuals.",5,1,0,0.8,0,0.2,0,"economic",NA
"LF665gs","The people currently being left behind are the people who don't agree with the MAGA good old boy agenda. They don't matter in the current climate of this country.",51,"Their needs are not considered","They are looked down on","They are less important to certain people",NA,NA,3,3.2,1.83333333333333,6.5,1,1.5,3,3,3,4,3,7,6,6,7,1,1,2,3,1,3,4,1,1,1,1,1,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",NA,NA,NA,NA,NA,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,44,"woman","White","GED","$20,001-$40,000",2,2,1,0,0,1,0,"negative","political climate; MAGA agenda",7,"political",1,1,"MAGA good old boy agenda","The response indicates a political group is causing others to feel marginalized in the current climate.",3,0,0,0.5,0.5,0,0,"social",NA
"KB305ap","The way things are working today I believe that many people from the so called working class and lower are feeling left behind. Just basic necessities have become more expensive and more and more people are having to make choices between eating and paying for the things they need to live remotely comfortably. On the other hand, it looks like to them, that the rich are just getting richer while they suffer and struggle.",27,"Prices are higher","Having to live paycheck to paycheck and sometimes still not achieving that","The rich seems to get richer","Working hard with almost nothing to show for it",NA,1,1.4,2,5.25,1,1.33333333333333,1,2,1,1,2,7,5,4,5,2,2,2,2,2,2,3,1,1,1,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",6,1,4,5,4,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,40,"woman","multiracial","GED","$20,001-$40,000",2,2,0,0,0,0,1,"negative","working class; cost of living; income inequality",8,"economic",1,1,"the rich","The response highlights the struggle of the working class with rising costs and contrasts it with the perceived wealth accumulation of the rich.",4,0,0,0.75,0.25,0,0,"economic","Thank you!"
"DU707ha","Now American people citizen handled poor creation ,Knowledge and skill people does not organized then only believe for machine",76,"AI","Advance technology","smart phone","Application","Lazy",3,5,2.83333333333333,4,0,3.16666666666667,6,3,5,5,6,6,3,5,2,3,2,3,4,2,3,2,3,4,4,3,3,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",3,5,6,2,5,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,25,"man","White","4yearColl","$60,001-$80,000",4,4,1,1,1,0,0,"negative","technology; employment; skills",7,"economic",0,1,NA,"The response suggests a negative sentiment towards the reliance on machines over human skills, indicating a feeling of being left behind economically.",5,0,1,0.2,0.2,0,0.6,"other",NA
"IL097lz","someone who is working a full time job but struggle to maintain a simple lifestyle such as affording basic commodities, and therefore he/she feels a bit frustrated.",9,"maybe she or he is a single parent","maybe she/he is drowning in debt","has a fixed and insufficient income",NA,NA,2,1.4,2.83333333333333,3,0,3.66666666666667,2,1,2,1,1,4,3,2,3,3,3,3,3,2,3,4,3,4,4,3,4,"Kamala Harris (Democratic Party)","I would not vote",1,6,7,7,6,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,47,"woman","White","4yearColl","$60,001-$80,000",4,4,1,0,0,1,0,"negative","affordability; basic commodities; full-time job",5,"economic",0,1,NA,"The response describes a person feeling frustrated due to economic struggles despite working full-time.",3,0,0,0,1,0,0,"economic","none"
"IF035am","A person who may feel left behind in the current system could be middle aged factory worker from a small rural town.This individaul likely held a stable job for years in manufacturing or anoher blue collar industry",77,"lack of retraining opportunity","lack of job due to outsourcing","feeling culturally disconnected","negative stereotype","political disenfranchisement",4,4.8,3,4.25,0,3.66666666666667,4,5,6,5,4,5,4,5,3,3,3,3,3,3,3,3,3,4,4,4,4,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",7,2,5,5,6,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,25,"man","Black or African American","4yearColl","$60,001-$80,000",4,4,0,1,1,0,0,"mixed","employment; rural areas; manufacturing",7,"economic",0,1,NA,"The response describes a person who feels left behind due to changes in the job market affecting their stable employment in manufacturing.",5,0,0,0.8,0.2,0,0,"economic",NA
"LG516ve","I think certain groups are feeling left behind for various reasons. This includes rights being taken away such as for abortion rights. It also includes those who have stagnant wages with rising inflation causing difficulties in their lives. It also includes those in groups that do not feel they have equal opportunities due to their race, gender, or other factors.",50,"Rising inflation costs.","Stagnant job wages.","Unequal opportunities between groups.",NA,NA,1,2.2,2.83333333333333,3.25,1,1.66666666666667,3,2,2,2,2,6,2,2,3,3,3,3,4,2,2,2,2,3,1,1,1,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,6,4,1,5,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,39,"man","White","2yearColl","$40,001-$60,000",3,3,1,1,0,1,0,"mixed","abortion rights; stagnant wages; rising inflation; equal opportunities; race; gender",7,"social",0,1,NA,"The response highlights feelings of being left behind due to rights being taken away and economic challenges, without naming a specific culprit.",3,0,0,1,0,0,0,"economic","N/A"
"PR158jt","This person I want to describe is a dedicated urban educator and a single mother, feeling left behind because the systems she serves undervalue her labor, ignore her expertise and fail to provide the structural support she needs to thrive both professionally and personally",85,"because of Housing insecurity driven by gentrification","also top to down policy decisions that ignored lived experience","Emotional exhaustion from unrecognized labor.",NA,NA,3,1,3.83333333333333,3,0,2,1,1,1,1,1,2,4,4,2,4,4,4,4,3,4,4,2,2,1,1,2,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",6,3,2,3,7,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,30,"man","Hispanic, Latino, or Spanish origin","4yearColl","$80,001-$100,000",5,4,0,1,1,0,0,"negative","education; single motherhood; systemic undervaluation",7,"social",1,1,"the systems she serves","The response highlights feelings of being undervalued and unsupported by the systems she works within, indicating a social issue.",3,1,0,0.666666666666667,0,0.333333333333333,0,"economic",NA
"GU968le","Those who are feeling left behind in the USA are those that are living from poverty line, they do not have good jobs, they feel they are not given good positions when it comes to employment, they feel neglected and thus making them they are ignored and no body loves or cares about them",50,"unemployment","poor medication","ignored","poor housing facilities","poor education facilities",5,2,2.16666666666667,4.5,1,3.5,1,1,1,6,1,5,4,4,5,2,1,3,3,2,2,4,4,3,4,4,2,"Donald Trump (Republican Party)","Kamala Harris (Democratic Party)",5,5,7,NA,NA,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,41,"woman","White","MA","$20,001-$40,000",2,5,1,0,0,0,1,"negative","poverty; employment; neglect",8,"economic",0,1,NA,"The response highlights feelings of neglect and lack of opportunities among those living near the poverty line.",5,0,1,0.8,0,0,0.2,"economic","very interesting survey"
"JR725cm","I picture someone like Ben, a man in his late 50s living in a smaller industrial town in the Midwest. For thirty years, he worked the same line at a manufacturing plant, a job his father had before him.It was hard work but it was reliable. It paid morgage on his modest three bedroomed house, put his two kids through community college and promised a pension that meant he and his wife could eventually retire with dignity. Then the plant closed. It moved operations overseas, and the town's main source of pride and paychecks dried up overnight. Ben tried to retrain, like they told him to, but sitting in a classroom with kids half his age , learning to code felt pointless. Those jobs,all seem to be in coastal cities he's never seen, for companies that feel a million miles away from his reality. Now he drives for a delivery app, his pension is a faded memory replaced a shaky smaller one and he feels utterly invinsible. He sees the world changing rapidly through his phone screen- a constant stream of news about booming stock markets,new tech gadgets, and cultural debates about pronouns and privileges he doesnt feel he has.He hears politicians talk about building back better but the new factory on the edge of town is automated requiring only a handful of highly skilled engineers. He feels left behind because the rules of the game changed midway through his life. The value of hard physical labor, the conerstone of his identity and self worth, seems to have evaporated. He feels ignored by a political system that appears more focused on culture wars than on the simple, crushing anxiety of providing for your family. He is hurting, watching his community fray and the local businesses on Main street shut down one by one",50,"econimic displacement","political neglect","cultural and social shifts","Devaluation of traditional skills","rapid technolological advancement",2,1,2.33333333333333,4.75,1,2.83333333333333,1,1,1,1,1,5,5,6,3,1,2,2,4,2,3,5,2,2,3,3,2,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",2,6,6,5,6,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,32,"woman","Hispanic, Latino, or Spanish origin","2yearColl","$60,001-$80,000",4,3,0,0,0,1,0,"negative","job loss; economic change; community decline; political neglect",8,"economic",1,1,"politicians, corporations","Ben feels left behind due to the closure of the manufacturing plant and the lack of suitable job opportunities, compounded by political neglect and economic shifts.",5,1,0,1,0,0,0,"economic","no"
"AH576xr","I think young people are feeling left behind today. The cost of living has gone up so much that young people feel like they'll never be able to afford to buy homes and have the standard of living that they want. Many young people also feel like they can't get decent jobs due to jobs being taken by immigrants and AI. Young people also feel like they can't get married or have families. It's very hard for young men in particular to find dates due to the way dating apps work. I think the typical young person today feels lonely and pessimistic, possibly hopeless.",45,"Cost of living","Lack of good jobs","Difficulty finding a romantic partner","Loneliness","Too much technology",3,1.2,1.66666666666667,6.5,1,2.66666666666667,1,1,1,1,2,7,6,6,7,1,1,2,3,1,2,5,3,3,2,1,2,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",2,6,6,4,5,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,41,"woman","White","4yearColl","$40,001-$60,000",3,4,1,0,0,1,0,"negative","cost of living; housing affordability; job market; dating; loneliness",8,"social",1,1,"immigrants, AI, dating apps","The response highlights feelings of being left behind due to economic and social challenges, with specific mention of immigrants, AI, and dating apps as contributing factors.",5,0,0,0.6,0.2,0.2,0,"economic",NA
"ZG902pj","I think a person who feels left behind in the United States today is someone living in a small rural town where industries that once provided stable jobs like manufacturing, mining, or farming have stopped. This person may have worked hard their whole life doing physically demanding jobs. They take a lot of pride in their work ethic, but now they see opportunities drying up and wages not keeping pace with high cost of living. They might feel like the government does not pay attention to communities like theirs anymore. Healthcare feels out of reach, affordable housing is hard to find and when they hear about booming tech industries, it seems like a different world entirely. On top of the economic struggles, they may also feel a sense of cultural loss such as the traditions, values, and way of life in their town are disappearing. This person is not lazy or unwilling to adapt, but they feel ignored by policymakers, overshadowed by urban voices and left to figure things out alone in a rapidly changing America.",50,"Economic decline in their community","High cost of living","Unequal attention from policy makers","Cultural and social disconnection","Limited access to resources",2,1.4,3.5,2.5,1,3.5,1,1,1,2,2,3,2,2,3,4,3,4,4,2,4,5,4,2,4,3,3,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",7,1,1,1,3,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,44,"woman","White","4yearColl","$140,001-$160,000",8,4,1,0,1,0,0,"negative","rural decline; job loss; economic disparity; cultural loss",8,"economic",1,1,"policymakers, government","The response describes a person feeling ignored by policymakers and struggling with economic and cultural changes in a rural area.",5,1,0,1,0,0,0,"economic","None"
"PA561cu","I honestly think adults feel left behind with how the economy has increased and crime increased. I really hope the price for houses and food lower or people start to give away houses for free for people that's homeless",61,"Not being able to afford house","Price for groceries are to high","Crime is high","Cannot afford to live alone","Cannot buy food",4,5,2.66666666666667,4.75,0,2.83333333333333,5,5,5,6,4,5,5,4,5,3,2,3,2,3,3,3,3,2,3,3,3,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",6,3,5,3,5,"Independent",NA,NA,"Closer to Republican","Independent | Closer to Republican",1,1,31,"man","Black or African American","GED","$40,001-$60,000",3,2,0,1,0,0,1,"negative","economy; crime; housing; homelessness",5,"economic",0,1,NA,"The response expresses concern about economic conditions and crime, indicating a feeling of being left behind due to rising costs and crime rates.",5,0,0,1,0,0,0,"economic",NA
"SS750pr","Any person that has expectations of doing well for themselves and finding it difficult to survive. While most would like a lavish life style without a doubt, there are some that settle for a less than ideal set of circumstances. For those unable to provide for themselves or their children, even the most basic of necessities it is deemed difficult to desperate. I believe those feeling left behind today in the United States are likely those with the highest expectations for themselves, but finding it increasingly difficult to achieve the concept of the American Dream. In American society, certain groups, such as Black Americans, have come to expect the least of their government. At the crux of the matter is the historical treatment is the issue of slavery and the refusal of a cash payment reparations regime. It also includes the continual treatment or mistreatment of Black people at the hands of law enforcement that goes unaddressed. So we do not have the same expectations as society in general or rather, the majority. The person feeling left behind doesn't clearly understand that they are less important to society in general. The believe the things they have been told and can't allow themselves to understand that being left behind is where they are suppose to be in the grand order of things. They are delusional believe that things should be as they aren't.",45,"Delusional","Unreasonable Expectations","Economic Dislocation","Desperation","Greedy",2,NA,2.16666666666667,5,1,1.16666666666667,NA,NA,NA,NA,NA,7,6,2,5,2,2,3,3,1,2,2,1,1,1,1,1,"I did not vote","I would not vote",3,1,1,5,1,"Independent",NA,NA,"Neither","Independent | Neither",1,1,59,"man","Black or African American","MA","$100,001-$120,000",6,5,0,1,0,0,1,"negative","American Dream; racial inequality; law enforcement; reparations",8,"social",1,1,"government, law enforcement","The response highlights the struggle of certain groups, particularly Black Americans, in achieving the American Dream due to historical and ongoing social injustices.",5,0,1,0.2,0.6,0,0.2,"other","Thanks for the opportunity to participate in this study."
