"PID","Status","StartDate","Progress","Duration..in.seconds.","Finished","consent","gender_.99_TEXT","race_8_TEXT","age","feedback","Election","CAND_1","CAND_2","RACETYPE","vote_who","vote_who_3_TEXT","vote_who_nyc","vote_who_nyc_8_TEXT","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu"
"UU726fo","0","2025-11-11 13:59:26","100","85","1","1","","","24","I would have voted for Mamdani, but I'm from California and voted in the election there.","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","woman","White","","","","","","","","Over $200,000","4yearColl"
"WB088sg","0","2025-11-11 16:17:50","100","32","1","1","","","44","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_2}","","","","man","White","Hispanic, Latino, or Spanish origin","","","","","","","$0-$20,000","PHD"
"OB951tk","0","2025-11-04 16:46:15","20","32","0","1","","","","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","","","","","","","","","","","","","","",""
"AS927sn","0","2025-11-04 16:46:48","40","68","0","1","","","","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","","","","","","","","","","","","",""
"NE718cp","0","2025-11-11 20:26:58","100","38","1","1","","","22","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","woman","","","","Asian","","","","","$100,001-$120,000","GED"
"CR096kp","0","2025-11-11 22:04:42","100","115","1","1","","","60","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_2}","","","","man","White","","","","","","","","$20,001-$40,000","GED"
"HP292mc","0","2025-11-11 23:43:46","100","68","1","1","","","45","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","woman","White","","","","","","","","$20,001-$40,000","GED"
"BU402ww","0","2025-11-11 23:51:05","100","33","1","1","","","23","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","Black or African American","","","","","","Prefer not to answer","4yearColl"
"SY850rg","0","2025-11-12 01:10:15","100","22","1","1","","","20","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_2}","","","","man","","Hispanic, Latino, or Spanish origin","","","","","","","Over $200,000","GED"
"NT407eg","0","2025-11-05 09:24:51","20","4626","0","1","","","","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","","","","","","","","","","",""
"ST288bn","0","2025-11-05 09:19:29","10","5646","0","1","","","","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","","","","","","","","","","",""
